segmentation_file,gt_file,voi,adapted_rand,hash,segmentation_algorithm,down_sampling,metadata_train,metadata_segmentation
N_294_final_crop_ds2_predictions_multicut.h5,N_294_final_crop_ds2.h5,"(0.3604692384780682, 0.5993206982307568)",0.187977219724213,"('c36edeb49e2462051497bbd2b6b91f2a', 'abeade7eae728d852a3eacdba1a99cd1')",MultiCut,"[1, 2, 2]",,
N_435_final_crop_ds2_predictions_multicut.h5,N_435_final_crop_ds2.h5,"(0.38766489821808237, 0.3277145976226426)",0.09816677214480085,"('dad9513fd9660e4113feb5e690958cd5', 'e38d1d9eb7cad675a77e627c2e9f8eee')",MultiCut,"[1, 2, 2]",,
N_441_final_crop_ds2_predictions_multicut.h5,N_441_final_crop_ds2.h5,"(0.2874826551815507, 0.30325498680598917)",0.09888301653918341,"('e995661270d2884c4a570b7401a112c0', '4c7d9fcab65d960c42db99a3015cbb9a')",MultiCut,"[1, 2, 2]",,
N_511_final_crop_ds2_predictions_multicut.h5,N_511_final_crop_ds2.h5,"(0.31568294247612577, 0.34728452028545304)",0.09161356626555439,"('be39208449cd5ef7203183fbaa9915a8', 'e53bf8cf7d3425688a141b4dc1af7b10')",MultiCut,"[1, 2, 2]",,
N_522_final_crop_ds2_predictions_multicut.h5,N_522_final_crop_ds2.h5,"(0.30532098774488137, 0.2950843155337225)",0.06486988318156228,"('aa5b0af565d766f8a39a628ddf1a2bf9', '044dd245270f85d7aba99ca3e457ea93')",MultiCut,"[1, 2, 2]",,
N_590_final_crop_ds2_predictions_multicut.h5,N_590_final_crop_ds2.h5,"(0.4411038290850205, 0.4964185254231525)",0.1905355023611638,"('9b8971e571bee15b9679281deb3fedd9', '0c1022687f80a63d15c77a92502bbcb3')",MultiCut,"[1, 2, 2]",,
N_593_final_crop_ds2_predictions_multicut.h5,N_593_final_crop_ds2.h5,"(0.4244444418817317, 0.4298924423309506)",0.15965282996785413,"('ccba05f79465b2713eca5ab90372868e', '753ab8546327406acf91c236c23c468c')",MultiCut,"[1, 2, 2]",,
