segmentation_file,gt_file,voi,adapted_rand,hash,segmentation_algorithm,down_sampling,metadata_train,metadata_segmentation
N_294_final_crop_ds2_predictions_multicut.h5,N_294_final_crop_ds2.h5,"(0.38286157025876044, 0.5721341633915453)",0.16694828727211808,"('c664a7d408e1213ce6c717a908a0714b', 'abeade7eae728d852a3eacdba1a99cd1')",MultiCut,"[1, 2, 2]",,
N_435_final_crop_ds2_predictions_multicut.h5,N_435_final_crop_ds2.h5,"(0.4405089881361983, 0.37037596005570794)",0.10438352752222535,"('fea0d28f708d10f0c4c066b8b62e97d3', 'e38d1d9eb7cad675a77e627c2e9f8eee')",MultiCut,"[1, 2, 2]",,
N_441_final_crop_ds2_predictions_multicut.h5,N_441_final_crop_ds2.h5,"(0.34316199279357107, 0.32195155125382874)",0.09031509786669789,"('f40c16cc4cb15071aff33fded2d69517', '4c7d9fcab65d960c42db99a3015cbb9a')",MultiCut,"[1, 2, 2]",,
N_511_final_crop_ds2_predictions_multicut.h5,N_511_final_crop_ds2.h5,"(0.3402374986210003, 0.3518668127982683)",0.08880172023050303,"('b00564fe3fe8485ca7149fc643414b30', 'e53bf8cf7d3425688a141b4dc1af7b10')",MultiCut,"[1, 2, 2]",,
N_522_final_crop_ds2_predictions_multicut.h5,N_522_final_crop_ds2.h5,"(0.35179657846035284, 0.33924518130634645)",0.07694803396224592,"('0727f76978839a44bd12911952cc0e9b', '044dd245270f85d7aba99ca3e457ea93')",MultiCut,"[1, 2, 2]",,
N_590_final_crop_ds2_predictions_multicut.h5,N_590_final_crop_ds2.h5,"(0.4702997695891902, 0.41513542815703486)",0.17982898546964066,"('d9e9c24198e1ac895d996c19f27d9984', '0c1022687f80a63d15c77a92502bbcb3')",MultiCut,"[1, 2, 2]",,
N_593_final_crop_ds2_predictions_multicut.h5,N_593_final_crop_ds2.h5,"(0.41565468631848157, 0.38885412008734666)",0.14690792242895112,"('f8f4d3aac42ac81e500ce16cb7d3493d', '753ab8546327406acf91c236c23c468c')",MultiCut,"[1, 2, 2]",,
