segmentation_file,gt_file,voi,adapted_rand,hash,segmentation_algorithm,down_sampling,metadata_train,metadata_segmentation
N_294_final_crop_ds2_predictions_multicut.h5,N_294_final_crop_ds2.h5,"(0.33476112010628256, 0.6026009974538392)",0.22476895350172343,"('16be39f5fef1ca66ac8c1da987b461f5', 'abeade7eae728d852a3eacdba1a99cd1')",MultiCut,"[1, 2, 2]",,
N_435_final_crop_ds2_predictions_multicut.h5,N_435_final_crop_ds2.h5,"(0.3775758237822663, 0.3177266645567949)",0.09437281673126197,"('f9d520bad866806de9f25e6ea56dbaf2', 'e38d1d9eb7cad675a77e627c2e9f8eee')",MultiCut,"[1, 2, 2]",,
N_441_final_crop_ds2_predictions_multicut.h5,N_441_final_crop_ds2.h5,"(0.2813474108130192, 0.28273102929708244)",0.07910901977960094,"('868ff6d756f1ec099c5bfe5dc8dda265', '4c7d9fcab65d960c42db99a3015cbb9a')",MultiCut,"[1, 2, 2]",,
N_511_final_crop_ds2_predictions_multicut.h5,N_511_final_crop_ds2.h5,"(0.308321300481628, 0.32966846124907045)",0.08568087089711351,"('a6141061eee2f9d847c77d5ef335d32b', 'e53bf8cf7d3425688a141b4dc1af7b10')",MultiCut,"[1, 2, 2]",,
N_522_final_crop_ds2_predictions_multicut.h5,N_522_final_crop_ds2.h5,"(0.2993060875901719, 0.28908006795979735)",0.06366278483231058,"('fe8216d17900ae334a7a521d239918d5', '044dd245270f85d7aba99ca3e457ea93')",MultiCut,"[1, 2, 2]",,
N_590_final_crop_ds2_predictions_multicut.h5,N_590_final_crop_ds2.h5,"(0.3737793502051563, 0.4635416163533447)",0.19247636298994797,"('532fde3e1ddbc28ea20bece9bed7760a', '0c1022687f80a63d15c77a92502bbcb3')",MultiCut,"[1, 2, 2]",,
N_593_final_crop_ds2_predictions_multicut.h5,N_593_final_crop_ds2.h5,"(0.391615075087155, 0.39771014022878737)",0.14912103653730024,"('7e76f3c68af3d01780f876251dffb340', '753ab8546327406acf91c236c23c468c')",MultiCut,"[1, 2, 2]",,
